Date Announced,Aichi,Chiba,Ehime,Fukuoka,Gifu,Hokkaido,Hyogo,Ishikawa,Kanagawa,Kochi,Kumamoto,Kyoto,Mie,Miyagi,Miyazaki,Nagano,Nara,Niigata,Oita,Okinawa,Osaka,Saitama,Shiga,Shizuoka,Tochigi,Tokyo,Unspecified,Wakayama,Yamaguchi
2020-01-15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-01-25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2020-01-26,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2020-01-28,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
2020-01-29,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0
2020-01-30,2,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,3,1,0,0
2020-01-31,2,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,3,1,0,0
2020-02-01,2,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,3,4,0,0
2020-02-04,2,2,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,4,5,0,0
2020-02-05,2,3,0,0,0,1,0,0,1,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,4,6,0,0
2020-02-08,2,3,0,0,0,1,0,0,1,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,4,7,0,0
2020-02-10,2,3,0,0,0,1,0,0,1,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,4,9,0,0
2020-02-12,2,3,0,0,0,1,0,0,1,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,5,9,0,0
2020-02-13,2,4,0,0,0,1,0,0,2,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,6,9,1,0
2020-02-14,3,4,0,0,0,2,0,0,3,0,0,2,1,0,0,0,1,0,0,1,1,0,0,0,0,8,9,2,0
2020-02-15,4,4,0,0,0,2,0,0,3,0,0,2,1,0,0,0,1,0,0,1,1,0,0,0,0,10,9,5,0
2020-02-16,6,4,0,0,0,2,0,0,3,0,0,2,1,0,0,0,1,0,0,1,1,0,0,0,0,13,9,5,0
2020-02-17,6,4,0,0,0,2,0,0,4,0,0,2,1,0,0,0,1,0,0,1,1,0,0,0,0,14,10,8,0
2020-02-18,7,4,0,0,0,3,0,0,7,0,0,2,1,0,0,0,1,0,0,1,1,0,0,0,0,17,10,10,0
2020-02-19,8,4,0,0,0,4,0,0,7,0,0,2,1,0,0,0,1,0,0,2,1,0,0,0,0,20,10,10,0
2020-02-20,9,5,0,2,0,5,0,0,8,0,0,2,1,0,0,0,1,0,0,3,1,1,0,0,0,21,10,10,0
2020-02-21,11,7,0,2,0,8,0,1,9,0,1,2,1,0,0,0,1,0,0,3,1,2,0,0,0,24,10,10,0
2020-02-22,15,8,0,2,0,17,0,1,13,0,3,2,1,0,0,0,1,0,0,3,1,2,0,0,1,25,10,11,0
2020-02-23,17,9,0,2,0,26,0,1,13,0,3,2,1,0,0,0,1,0,0,3,1,2,0,0,1,25,10,11,0
2020-02-24,17,9,0,2,0,30,0,2,14,0,3,2,1,0,0,0,1,0,0,3,1,2,0,0,1,30,10,11,0
2020-02-25,20,9,0,2,0,34,0,3,14,0,5,2,1,0,0,1,1,0,0,3,1,2,0,0,1,30,10,11,0
2020-02-26,25,12,0,2,1,38,0,3,16,0,5,2,1,0,0,1,1,0,0,3,1,2,0,0,1,33,10,11,0
2020-02-27,27,12,0,2,2,52,0,4,19,0,5,2,1,0,0,1,1,0,0,3,2,2,0,0,1,34,10,11,0
2020-02-28,28,12,0,2,2,64,0,4,20,0,5,2,1,0,0,1,1,0,0,3,4,2,0,1,1,34,10,11,0
2020-02-29,29,12,0,2,2,68,0,4,20,1,5,2,1,1,0,1,1,1,0,3,4,2,0,1,1,35,10,11,0
2020-03-01,32,13,0,3,2,70,1,4,23,2,5,2,1,1,0,1,1,1,0,3,4,2,0,1,1,37,10,11,0
2020-03-02,32,13,0,3,2,75,1,4,23,3,5,2,1,1,0,1,1,5,0,3,6,2,0,1,1,37,10,11,0
2020-03-03,36,13,0,3,2,77,3,4,23,3,5,3,1,1,0,1,1,5,1,3,8,2,0,1,1,38,10,11,1
2020-03-04,42,14,1,3,2,80,3,4,23,7,5,5,1,1,1,1,1,5,1,3,14,2,0,1,1,42,10,11,1
2020-03-05,42,14,1,3,2,80,3,4,23,7,5,6,1,1,1,1,1,5,1,3,14,2,1,1,1,42,10,11,1
